Judul,Tanggal,Jam Upload (WIB)
"JANGAN NGAKAK! DIKLAIM MALAYSIA, INILAH...",2026-02-05,7:30
HEBOH! PURBAYA NGAMUK! DICECAR & DIJATUHKAN...,2026-02-05,10:30
HEBOH! INDIA JIPLAK BUS INDONESIA...,2026-02-05,13:15
MEMANAS! MALAYSIA PANIK BESAR SABAH SARAWAK...,2026-02-05,16:15
KURANG AJAR! AUSTRALIA USIK PULAU PASIR...,2026-02-05,18:15
"PROJECT GILA PRABOWO RP 1300 T, BIKIN JIRAN ASEAN MELONGO",2026-02-06,7:15
MALAYSIA PANIK AKIBAT CARI GARA-GARA... ,2026-02-06,13:15
JIRAN GELISAH! SIMULASI PERANG BESAR-BESARAN... ,2026-02-06,16:15
NEGARA PALING TAK TAU DIRI! (Shorts),2026-02-06,17:01
"TNI TAKLUKKAN LEBANON, MALAYSIA SYOK... ",2026-02-06,18:30
MALAYSIA GAGAL NIRU! PTDI GANDENG HONEYWELL... ,2026-02-06,20:15
MEDIA ASING HEBOH! RAFALE RI SIAP DUEL DI UDARA...,2026-02-07,7:30
DPR MALAYSIA RICUH! PM ANWAR SERAHKAN WILAYAH...,2026-02-07,13:15
THAILAND BUNGKAM NETIZEN MALAYSIA...,2026-02-07,16:15
MALAYSIA GAGAL NIRU! PTDI GANDENG... (Shorts),2026-02-07,17:00
TIMOR LESTE MENYESAL DIBODOHI AUSTRALIA...,2026-02-07,19:00
PRABOWO MURKA! TNI KEPUNG PERBATASAN...,2026-02-08,7:15
RI BANGUN MEGAPORT TERBESAR DI SELAT MALAKA...,2026-02-08,11:30
TIMOR LESTE MENYESAL DIBODOHI... (Shorts),2026-02-08,17:15
"SERBIA GABUNG INDONESIA, MARINIR TNI AL...",2026-02-08,18:15
DUEL MAUT ASEAN! M-346 RI VS FA-50 MALAYSIA...,2026-02-08,20:15
MALAYSIA GELISAH! INDONESIA-AUSTRALIA BERSATU...,2026-02-09,7:15
BATAM BANJIR DUIT! RIBUAN WARGA SINGAPURA...,2026-02-09,9:30
MALAYSIA MAKIN NEKAT! PRABOWO TURUN TANGAN...,2026-02-09,14:15
DUEL MAUT ASEAN! M-346 RI VS FA-50... (Shorts),2026-02-09,18:15
MEMANAS! MALAYSIA NYATAKAN PERANG...,2026-02-09,20:15
ANWAR IBRAHIM SERUKAN PERANG LAWAN INDONESIA...,2026-02-10,7:15
PRABOWO GERTAK JIRAN! MALAYSIA AUTO KEOK...,2026-02-10,10:15
PRABOWO TANTANG ANWAR IBRAHIM! TNI BERSIAP...,2026-02-10,13:15
MALAYSIA PANAS! SABAH-SARAWAK NGAMUK!...,2026-02-10,18:30
TERANCAM GELAP! SINGAPURA NGEMIS PASOKAN...,2026-02-11,7:15
GEGER‼ NETIZEN MALAYSIA HINA INDONESIA...,2026-02-11,10:15
MALAYSIA KOCAR-KACIR! PRABOWO SIAGAKAN TNI...,2026-02-11,13:15
RUDAL SAJA? JIRAN GANGGU INDONESIA...,2026-02-11,16:15
MEMANAS! MALAYSIA NYATAKAN PERANG... (Shorts),2026-02-11,17:00
TNI AL AMANKAN RIBUAN TON NIKEL ORE...,2026-02-11,18:15
PRIA MALAYSIA NGAMUK! CEWEK MELAYU SUKA BANGLA...,2026-02-11,20:15
PM ANWAR IBRAHIM ANCAM KITA BISA BERTARUNG...,2026-02-12,7:30
MALAYSIA MAKIN GELISAH! PM SARAWAK SEBUT IKN...,2026-02-12,10:15
MALAYSIA TERANCAM KRISIS! PRABOWO TUTUP KRAN...,2026-02-12,13:15
PRIA MALAYSIA NGAMUK! CEWEK MELAYU... (Shorts),2026-02-12,17:45
TOP MARKOTOP! INDONESIA BANGUN STASIUN...,2026-02-12,18:30
"PINDAD-ARAB SAUDI BERSATU, MALAYSIA GEMETAR...",2026-02-12,20:15
TOP MARKOTOP‼️ INDONESIA BANGUN STASIUN... (Shorts),2026-02-13,5:54
MALAYSIA TERKEJUT! RINGGIT DITOLAK DUNIA...,2026-02-13,7:30
WARGA JIRAN BERONTAK KIBARKAN BENDERA...,2026-02-13,10:15
MALAYSIA SOK BERANI! PRABOWO KERAHKAN RIBUAN...,2026-02-13,13:15
TNI NGAMUK! INDONESIA TEROBOS LANGIT GAZA...,2026-02-13,16:15
PINDAD-ARAB SAUDI BERSATU... (Shorts),2026-02-13,17:15
"DULU MELEDEK, SEKARANG MENIRU‼️ SINGAPURA...",2026-02-13,18:30
RI SKAKMAT JIRAN! PRABOWO AKTIFKAN MODE...,2026-02-13,20:15
MALAYSI NEKAT KIRIM KAPAL PERANG TUA...,2026-02-14,7:30
GEMPAR‼️ MALAYSIA KAMPANYEKAN “TANGKAP JAWA”...,2026-02-14,13:15
PERANG RI-MALAYSIA PECAH! EKSTREMIS...,2026-02-14,16:15
RI SKAKMAT JIRAN! PRABOWO AKTIFKAN MODE... (Shorts),2026-02-14,17:01
KAPAL MALAYSIA KECIL DITERTAWAKAN DUNIA!...,2026-02-14,18:30
HINA IQ78 DAN REMEHKAN PRODUK RI...,2026-02-14,20:15
TNI BERSIAP PERANG BESAR‼️ KEPUNG BLOK AMBALAT (Shorts),2026-02-15,6:00
MALAYSIA RIBUT! HARGA LISTRIK MENCEKIK...,2026-02-15,7:15
MALAYSIA CIUT NYALI‼️ RI BANGUN 4 MONSTER LAUT...,2026-02-15,10:15
MALAYSIA GELISAH! SARAWAK PILIH INDONESIA...,2026-02-15,14:15
MALAYSIA PANIK! TNI AL SIKAT 25 TON TIMAH...,2026-02-15,16:15
HINA IQ78 DAN REMEHKAN PRODUK RI... (Shorts),2026-02-15,17:00
MALAYSIA TERUS NGOTOT! SUMATRA JADI INCARAN...,2026-02-15,20:15
MALAYSIA RIBUT! HARGA LISTRIK MENCEKIK... (Shorts),2026-02-16,6:00
"DEMI BISA DATANGKAN BANGLA, MALAYSIA TEGA USIR...",2026-02-16,7:15
"MALAYSIA MEMANAS! MINYAK KAMI, DUITNYA KEMANA?...",2026-02-16,10:15
MALAYSIA KALAH PERANG! RI REBUT NUNUKAN & AMBALAT...,2026-02-16,13:15
PRABOWO KUASAI ASEAN! AUSTRALIA MERAPAT KE RI...,2026-02-16,16:15
MALAYSIA TERUS NGOTOT! SUMATRA JADI INCARAN... (Shorts),2026-02-16,17:01
MALAYSIA JEBLOK! RINGGIT NAIK KEDAULATAN DIJUAL?...,2026-02-16,18:15
"MALAYSIA TERDIAM! PUTIN PILIH PRABOWO, NUKLIR...",2026-02-16,20:15
"MENGHINA MALAYSIA, NETZ INDONESIA TURUN TANGAN...",2026-02-17,7:15
MALAYSIA LAPORKAN RI KE INGGRIS! TAKUT ANCAMAN...,2026-02-17,10:15
GEMPARKAN ASEAN! WARGA INDONESIA DIHABISI...,2026-02-17,13:15
TIMOR LESTE INGATKAN PAPUA: JANGAN PISAH...,2026-02-17,16:15
MALAYSIA TERDIAM! PUTIN PILIH PRABOWO... (Shorts),2026-02-17,17:15
"SESUMBAR EJEK INDONESIA, KEADAAN TIMOR LESTE...",2026-02-17,18:15
KURANG AJAR! SINGAPURA INGIN SEWA BATAM...,2026-02-17,20:15
5 WILAYAH MALAYSIA TERANCAM PECAH INGINKAN...,2026-02-18,7:30
PM MALAYSIA PUSING! SABAH INGIN GABUNG...,2026-02-18,10:15
PRABOWO PERINTAHKAN ANGKAT SENJATA!...,2026-02-18,13:15
NEKAT CAPLOK WILAYAH! MALAYSIA KIRIM KAPAL...,2026-02-18,16:15
FPDA BELA MALAYSIA! INDONESIA TAK GENTAR...,2026-02-18,19:30
RI LAKUKAN SIMULASI PERANG BESAR!...,2026-02-18,4:30
JIRAN GEMETAR LIHAT PASUKAN ELIT...,2026-02-19,9:30
KOCAK! MALAYSIA KLAIM TENTARA TERKUAT...,2026-02-19,12:30
NGAMUK! KANTOR PM ANWAR DI BAKAR MASSA...,2026-02-19,15:30
KURANG AJAR! SINGAPURA INGIN SEWA... (Shorts),2026-02-19,17:00
MALAYSIA TERLALU BERANI ANCAM PERANG...,2026-02-19,18:00
MALAYSIA PANIK! INDONESIA STOP EKSPOR...,2026-02-19,20:30
MALAYSIA GEMETAR LIHAT KEDATANGAN KAPAL...,2026-02-20,4:30
MALAYSIA HINA RI! 5 NEGARA PENGECUT...,2026-02-20,9:30
MALAYSIA KAGET! INDONESIA-VIETNAM BERSATU...,2026-02-20,12:30
MURKA! PARA RAJA NUSANTARA BERSATU!...,2026-02-20,15:30
MALAYSIA PANIK! INDONESIA STOP EKSPOR... (Shorts),2026-02-20,17:00
TERANCAM BUBAR! SINGAPURA GABUNG...,2026-02-20,18:00
GEMPAR! PRABOWO PANGGIL SEMUA JENDERAL...,2026-02-20,20:30
TAKUT HADAPI INDONESIA SENDIRIAN...,2026-02-21,4:30
PRABOWO AKTIFKAN DARURAT MILITER‼️...,2026-02-21,9:30
JUTAAN RAKYAT SINGAPURA PINDAH KE BATAM...,2026-02-21,12:30
RAKYAT MALAYSIA KAGET INDONESIA BERANI...,2026-02-21,15:15
GEMPAR! PRABOWO PANGGIL SEMUA... (Shorts),2026-02-21,17:15
GEMPAR! RI PIMPIN 7 NEGARA DI GAZA...,2026-02-21,20:30
GOKIL! INDONESIA TAKLUKKAN TARIF 0%...,2026-02-22,4:30
ANCAM PERANG INDONESIA! MALAYSIA DIBUAT...,2026-02-22,9:30
BERANI GANGGU KEDAULATN RI! MALAYSIA...,2026-02-22,12:30
5 NEGARA DEKLARASIKAN PERANG! JIRAN...,2026-02-22,16:30
MALAYSIA HERAN !! TRUMP PUJI HABIS-HABISAN...,2026-02-22,18:15
SUMUR MINYAK MENGERING TOTAL TIMOR LESTE...,2026-02-23,9:15
PRABOWO TABUH GENDERANG PERANG! PM ANWAR...,2026-02-23,15:30
GEMPAR! RI PIMPIN 7 NEGARA DI GAZA... (Shorts),2026-02-23,17:15
"HINA DAN EJEK RUPIAH LEMAH, PRABOWO...",2026-02-23,18:15
JIRAN BERKHIANAT! PRABOWO MARAH BESAR...,2026-02-23,20:30
HANTU LAUT SIAP BUNGKAM PROVOKASI MALAYSIA!...,2026-02-24,9:30
SALAH CARI LAWAN! KORSEL ALAMI BANGKRUT...,2026-02-24,15:30
JIRAN BERKHIANAT! PRABOWO MARAH BESAR... (Shorts),2026-02-24,17:10
DUEL SENGIT DI LAUT SAWU! KRI DIPONEGORO 365...,2026-02-24,18:15
MEDIA ASING HEBOH KRI BUNG TOMO-357 GUNCANG...,2026-02-24,20:30
MALAYSIA TAK BERKUTIK‼️ GARIS BATAS DIUTAK-ATIK...,2026-02-25,9:30
KARMA CAPLOK WILAYAH RI‼️ THAILAND NGAMUK...,2026-02-25,15:30
SEMENAKUTKAN ITUKAH INDONESIA⁉️ 5 NEGARA...,2026-02-26,9:30
JALUR NARKOBA MALAYSIA MENGGILA...,2026-02-26,16:15
LAGI‼️ FIJI-BANGLADESH BORONG 1000++ BUS...,2026-02-26,18:15
MEDIA ASING HEBOH KRI BUNG TOMO-357... (Shorts),2026-02-26,19:01
RI GEBER ASEAN! JIRAN TAK BISA TIDUR...,2026-02-26,20:30
MALAYSIA MENANGIS‼️ INDONESIA STOP EKSPOR...,2026-02-27,9:30
DI AMBANG KIAMAT? Kenapa Negara Arab Gemetar...,2026-02-27,12:30
PRABOWO BUNGKAM DUNIA‼️3 NEGARA ASEAN RESMI...,2026-02-27,17:00
RI GEBER ASEAN! JIRAN TAK BISA TIDUR... (Shorts),2026-02-27,18:00
KRAN GAS DITUTUP‼️ SINGAPURA & MALAYSIA...,2026-02-27,20:30
DI AMBANG KIAMAT Kenapa Negara Arab Gemetar,2026-02-28,4:30
"JET TUA, BIAYA GILA, HASIL NIHIL‼️PERTAHANAN...",2026-02-28,7:30
"MALAYSIA SOMBONGKAN RINGGIT, TAPI WARGANYA...",2026-02-28,10:15
PRABOWO AKAN BUAT INDONESIA SALIP SINGAPURA...,2026-02-28,13:15
PAPUA RESMI JADI PUSAT PANGAN DUNIA...,2026-02-28,16:30
KRAN GAS DITUTUP‼️ SINGAPURA & MALAYSIA... (Shorts),2026-02-28,17:00
MALAYSIA KAGET‼️ INDONESIA BANTU YORDANIA...,2026-02-28,18:15
INDONESIA RAJA THORIUM DUNIA‼️ SEMUA PABRIK...,2026-02-28,20:30
RUDAL IRAN TARGETKAN BURJ KHALIFA... (Shorts),2026-02-28,3:30
WASPADA! MEDIA MALAYSIA BONGKAR KECANGGIHAN KRI...,2026-01-01,10:30
MANTAN SNIPER MALAYSIA AKUI: TAK TAKUT PERANG...,2026-01-01,14:15
TIMOR LESTE MENANGIS LIHAT PAPUA! DULU PILIH...,2026-01-01,16:15
DPR MALAYSIA TAKUT ANCAMAN PERANG INDONESIA...,2026-01-02,7:15
NGAKAK! AKSI-AKSI TENTARA MALAYSIA BUAT KETAWA...,2026-01-02,13:15
MAU AJAK PERANG? ATUK MALAYSIA HALU...,2026-01-02,16:15
DIPUJA RAKYAT KAMBOJA! INDONESIA JADI...,2026-01-02,19:15
PANTAS NGOTOT INGIN MERDEKA? LIHAT PERBANDINGAN...,2026-01-03,7:30
TERBONGKAR! PERJANJIAN TERBURUK MALAYSIA...,2026-01-03,10:15
CHINA OBOK-OBOK LAUT MALAYSIA DI TAHUN BARU...,2026-01-03,16:30
TIMOR LESTE MENANGIS... (Shorts),2026-01-03,17:00
DPR MALAYSIA PANIK! AKUI KAPAL SELAM RI...,2026-01-03,19:15
MONSTER LAUT BARU! KRI BALAPUTRA DEWA...,2026-01-03,20:15
"TNI KEPUNG AMBALAT, DPR MALAYSIA MASIH NEKAT...",2026-01-04,7:15
RAKYAT ACEH ASLI BUNGKAM & PERMALUKAN MALAYSIA...,2026-01-04,10:15
AKIBAT REMEHIN PETANI! PASOKAN KELAPA MALAYSIA...,2026-01-04,13:15
NGACA DULU! MEDIA MALAYSIA SEBUT PRABOWO ZIONIS...,2026-01-04,16:15
MONSTER LAUT BARU... (Shorts),2026-01-04,17:00
MALAYSIA SYOK BERAT! INDONESIA NEKAT BANTU IRAN...,2026-01-04,19:15
PRABOWO NGAMUK! INDONESIA SKAKMAT 9 NEGARA...,2026-01-05,7:15
KENA KARMA! DULU REMEHKAN & HINA TKI...,2026-01-05,10:15
WARGA MALAYSIA NGAMUK! KELAKUAN WARGA BANGLADESH...,2026-01-05,13:15
BEDA KELAS! TENTARA WANITA MALAYSIA DIHUJAT...,2026-01-05,16:30
MALAYSIA TERKEJUT! RUSIA SERIUS DUKUNG PRABOWO...,2026-01-05,18:15
BENDERA MALAYSIA DIBAKAR DI ACEH...,2026-01-06,8:15
MEDIA ASING BONGKAR DATA MILITER RI VS MALAYSIA...,2026-01-06,13:15
TNI KEPUNG TOTAL BLOK AMBALAT DENGAN KAPAL...,2026-01-06,16:15
MALAYSIA TERKEJUT! RUSIA... (Shorts),2026-01-06,17:00
GEMPAR! 6 NEGARA MAJU REBUTAN IMPOR BUS...,2026-01-06,19:00
"JOHOR INGIN MANDIRI, SABAH & SARAWAK MUAK...",2026-01-06,20:30
DIHINA HAMA‼️ JATI DIRI SUKU JAWA DI SURINAME...,2026-01-07,7:15
JANGAN MAIN-MAIN! TNI KERAHKAN SELURUH ARMADA...,2026-01-07,9:15
MALAYSIA TERDIAM! SULTAN BOLKIAH BRUNEI BORONG...,2026-01-07,13:15
JOHOR INGIN MANDIRI... (Shorts),2026-01-07,17:01
ALARM BAHAYA BAGI KAPAL ASING! RUDAL CM-302...,2026-01-07,18:15
INDIA KAGUM! INDONESIA BORONG RUDAL MAUT...,2026-01-07,20:15
ALARM BAHAYA BAGI JIRAN! 42 UNIT RAFALE F4...,2026-01-08,7:15
MALAYSIA GAGAL TOTAL! INDONESIA AMBIL ALIH...,2026-01-08,10:15
RUDAL KHAN TNI RESMI SIAGA DI KALTIM...,2026-01-08,13:15
PT PINDAD SIAP TAKLUKKAN AMERIKA LATIN...,2026-01-08,16:15
INDIA KAGUM! INDONESIA BORONG... (Shorts),2026-01-08,17:00
MEMALUKAN! TENTARA MALAYSIA BUKANNYA BERLATIH...,2026-01-08,19:15
TIMOR LESTE KENA TIPU AUSTRALIA! KINI MENYESAL...,2026-01-09,7:30
MALAYSIA HEBOH! PRABOWO TAK GENTAR! INDONESIA...,2026-01-09,13:15
KONTRAS BANGET! 2026 MILITER MALAYSIA BIKIN...,2026-01-09,16:15
MALAYSIA DIJAJAH! WARGA BANGLADESH BERJAYA...,2026-01-09,19:15
MALAYSIA KAGET! CN235 BUATAN INDONESIA...,2026-01-09,20:15
MALAYSIA-VIETNAM SYOK! SRILANGKA & AFRIKA...,2026-01-10,7:30
BEDA KELAS BRO! YEL-YEL ASKAR MALAYSIA VS TNI...,2026-01-10,10:30
MERINDING! JEPANG MINTA KIRIM RATUSAN RIBU TKI...,2026-01-10,13:15
FILIPINA PAMER KERETA API BUATAN RI...,2026-01-11,8:15
EROPA MENYESAL! SAWIT INDONESIA JADI...,2026-01-11,13:15
KERETA BUATAN MADIUN JADI REBUTAN...,2026-01-11,16:15
MALAYSIA GEMETAR! KAPAL SELAM OTONOM...,2026-01-11,18:30
FILIPINA BANGGA PAMERKAN PESAWAT NC212i...,2026-01-11,20:15
DULU SOMBONG MAU JADI DUBAI ASIA...,2026-01-12,7:30
SKAKMAT PROVOKATOR ASING! JAWA DISERANG...,2026-01-12,10:15
AMERIKA INGINKAN LAPINDO! INDONESIA...,2026-01-12,16:15
FILIPINA BANGGA PAMERKAN... (Shorts),2026-01-12,17:01
MALAYSIA & ASEAN GEMPAR! 2027 INDONESIA...,2026-01-12,18:30
MALAYSIA SYOK! BANGLA JATUH CINTA...,2026-01-13,7:30
ORANG INDIA SYOK LIAT KAROSERI...,2026-01-13,10:30
THAILAND KEPINCUT KERETA CEPAT RI!...,2026-01-13,13:15
MEDIA MALAYSIA PANIK! INDONESIA RESMI...,2026-01-13,16:15
GEMPAR! MALAYSIA DESAK INDONESIA...,2026-01-13,18:19
JIRAN TERPAKSA BELI SENJATA BUATAN...,2026-01-13,20:15
SINGAPURA MENJERIT! RIBUAN TAIPAN...,2026-01-14,8:15
BERAS PAPUA SIAP KUASAI PASAR...,2026-01-14,11:30
AUSTRALIA PANIK! BERANI USIK PAPUA...,2026-01-14,15:15
JIRAN TERPAKSA BELI SENJATA... (Shorts),2026-01-14,17:01
AUSTRALIA TERBUNGKAM! TNI AU KERAHKAN...,2026-01-14,19:15
JANGAN MAIN-MAIN! RAFALE RI TIBA...,2026-01-15,7:15
PRABOWO NGAMUK! 4 WNI DICULIK...,2026-01-15,10:15
RI PUNYA SENJATA BARU! LAPINDO JADI...,2026-01-15,13:15
MALAYSIA TERPERANGAH! BOMBER NUKLIR...,2026-01-15,18:30
MALAYSIA TERPERANGAH! PASUKAN GARUDA...,2026-01-15,20:30
PAKISTAN GABUNG INDONESIA! RI BORONG...,2026-01-16,7:30
GEGERKAN ASEAN! STRATEGI CERDAS RI...,2026-01-16,10:15
AMERIKA MAIN ANCAM! PAKSA RI BELI...,2026-01-16,13:15
INDONESIA GABUNGKAN RUDAL ATMACA...,2026-01-16,18:15
BEDA KELAS! INDONESIA USIR PAKSA CHINA...,2026-01-16,20:15
EROPA KAGUM! INDONESIA UBAH LAUT...,2026-01-17,9:15
FILIPINA BIDIK KF-21 BORAMAE...,2026-01-17,11:30
MALAYSIA GAGAL UNTUNG BESAR!...,2026-01-17,16:15
MALAYSIA TERPERANGAH! PASUKAN... (Shorts),2026-01-17,17:00
WARGA MALAYSIA NGAMUK! OGAH BERNASIB...,2026-01-17,19:30
MALAYSIA MEMANAS! SABAH ANCAM LEPAS...,2026-01-18,9:15
KOMIKA DUNIA SINDIR SLOGAN JIRAN...,2026-01-18,11:30
"HEBOH! INDONESIA BANGUN PASAR GRATIS""...""",2026-01-18,15:15
WARGA MALAYSIA NGAMUK! OGAH... (Shorts),2026-01-18,17:01
BEDA KELAS! PRAJURIT KODAERAL VII...,2026-01-18,19:15
MALAYSIA KELABAKAN! INDONESIA STOP...,2026-01-19,9:15
GEGERKAN ASEAN! RAFALE RI BISA...,2026-01-19,11:30
INDONESIA RESMI JADI PRESIDEN HAM...,2026-01-19,12:30
MALAYSIA SYOK! AUSTRALIA AKUI...,2026-01-19,16:15
JALUR TIKUS DIBONGKAR! INTELIJEN TNI...,2026-01-19,21:00
SIBUK CAMPUR TANGAN ACEH & PAPUA...,2026-01-20,7:15
PRABOWO TEMUI RAJA CHARLES III...,2026-01-20,12:30
FIJI PAMERKAN BUS CANGGIH BUATAN...,2026-01-20,16:15
GEGERKAN ASEAN! RAFALE RI... (Shorts),2026-01-20,17:01
MENCEKAM! PRABOWO NGAMUK 9 ABK DICULIK...,2026-01-21,7:15
PENGARUH BHS INDONESIA JADI ANCAMAN!...,2026-01-21,13:15
ARAB SAUDI PAMERKAN BUS SR3 BUATAN RI...,2026-01-21,16:15
DRONE SCANEAGLE TNI BISA LIHAT DALAM GELAP...,2026-01-21,18:15
GEMPAR! TNI AL KEPUNG AMBALAT...,2026-01-22,8:30
MALAYSIA & TRUMP MURKA! PRABOWO DIAM-DIAM...,2026-01-22,13:15
GEGER! JET TEMPUR RAFALE TNI AU TIBA...,2026-01-22,16:15
GEGER! ADA UPAYA GANGGU RI... (Shorts),2026-01-22,17:00
MALAYSIA BAWA INDONESIA RAJA MALAYSIA...,2026-01-22,19:15
RIBUAN WARGA SINGAPURA SERBU BATAM!...,2026-01-23,7:15
KARMA! MALAYSIA MENANGIS KEHILANGAN TKI...,2026-01-23,10:15
TNI AL & BAKAMLA SKAKMAT KAPAL CINA...,2026-01-23,13:15
PRABOWO & TRUMP BERSATU DI DAVOS...,2026-01-23,16:15
MENCEKAM! PENYELUNDUP MALAYSIA DISIKAT...,2026-01-23,19:15
NGERI! PRABOWO BAWA PULANG RP90 TRILIUN...,2026-01-24,7:15
MALAYSIA HEBOH NEGARANYA TAK DIUNDANG...,2026-01-24,13:15
MALAYSIA HEBOH! BANGLADESH PILIH KERETA...,2026-01-24,15:15
MALAYSIA BAWA INDONESIA RAJA... (Shorts),2026-01-24,17:00
MAKIN BARBAR! MALAYSIA CAPLOK TIGA DESA...,2026-01-24,18:15
GEMPAR! SBY & PRABOWO PERINGATKAN...,2026-01-24,20:15
RINGGIT MALAYSIA DITOLAK DUNIA!...,2026-01-25,7:15
TERUNGKAP! PILIH INDONESIA ATAU TIMOR LESTE?...,2026-01-25,10:15
WARGA MALAYSIA SYOK LIHAT JAKARTA...,2026-01-25,13:15
INDONESIA GANDENG QATAR TEKEN RP38 T...,2026-01-25,18:30
MALAYSIA KETERGANTUNGAN PEKERJA ASING‼️...,2026-01-26,16:15
GEMPAR! SBY & PRABOWO PERINGATKAN... (Shorts),2026-01-26,18:00
INDONESIA TAK BUTUH IMPOR LAGI!...,2026-01-26,18:15
MALAYSIA WAS WAS! INDONESIA BANGUN 4 FREGAT...,2026-01-26,20:30
PRIA BANGLA JADI PRIMADONA WANITA MELAYU...,2026-01-27,7:15
INDONESIA JADI PENYELAMAT AFRIKA...,2026-01-27,13:15
SOK HINA & RENDAHKAN INDONESIA...,2026-01-27,16:15
GEGER! WARGA PERBATASAN MALAYSIA...,2026-01-27,18:30
PARAH‼️ MALAYSIA BERANI PERMAINKAN RI...,2026-01-27,23:34
GEGER! PO BUS INDIA BANGGA PAMERKAN BUS...,2026-01-28,7:15
MALAYSIA & NATO BUNGKAM! DULU HINA TANK...,2026-01-28,10:15
MALAYSIA WAS WAS! BANGUN 4 FREGAT... (Shorts),2026-01-28,17:00
JIRAN INGINKAN INDONESIA BANGKRUT!...,2026-01-28,18:15
ARSITEK PRANCIS DIBIKIN MELONGO!...,2026-01-28,20:15
INDIA PAMER SLEEPER BUS BUATAN RI...,2026-01-29,7:15
DULU MINTA LEPAS! MIMPI HANCUR...,2026-01-29,10:15
MEMANAS! MALAYSIA ANCAM PERANG PRABOWO...,2026-01-29,13:15
ARSITEK PRANCIS DIBIKIN... (Shorts),2026-01-29,17:00
MALAYSIA BINGUNG! GADAIKAN NEGARA...,2026-01-29,18:15
TERANCAM GELAP! PRABOWO CABUT LISTRIK...,2026-01-29,20:15
PRABOWO MURKA! ANCAM AUSTRALIA...,2026-01-30,7:15
ISRAEL TAK TERIMA‼️ PRABOWO KERAHKAN TNI...,2026-01-30,10:15
MEMANAS‼️ TNI HADANG KAPAL MALAYSIA...,2026-01-30,13:15
BORONG 2 LUSIN JET TEMPUR ITALIA...,2026-01-30,16:15
TERANCAM GELAP! PRABOWO CABUT... (Shorts),2026-01-30,17:01
JENDERAL OPM TANTANG PRABOWO‼️...,2026-01-30,18:15
TNI AL KEPUNG AMBALAT‼ MALAYSIA KETAR-KETIR...,2025-12-01,7:30
"INDONESIA STOP IMPOR BERAS, JAGUNG, DAN GARAM‼...",2025-12-01,12:30
INDONESIA KALAHKAN ISRAEL & IRAN MILITER...,2025-12-01,15:30
TNI AL KEPUNG AMBALAT‼... (Shorts),2025-12-01,17:00
TAIWAN GELONTORKAN RP 666 T BIKIN T-DOME...,2025-12-01,18:30
BANGGA‼ BANGLADESH PAMER KERETA CANGGIH...,2025-12-01,20:30
"PAPUA BARAT JADI REBUTAN ASING, PRABOWO...",2025-12-02,7:30
SUDAN–ANGOLA–ETHIOPIA GABUNG INDONESIA...,2025-12-02,9:30
"MALAYSIA DIBUAT CEMAS, INDONESIA & AUSTRALIA...",2025-12-02,12:30
"INDONESIA LOLOS JEBAKAN AS, MALAYSIA MALAH...",2025-12-02,15:30
"MALAYSIA MAKIN CIUT NYALINYA, INDONESIA GANDENG...",2025-12-03,7:30
INDIA & JEPANG BANGUN POROS BARU DENGAN...,2025-12-03,10:30
"IRAN UNDANG INDONESIA, PRABOWO PENENTU...",2025-12-03,12:30
INDONESIA KENDALIKAN SUPLAI EMAS DUNIA...,2025-12-03,15:30
BANGGA‼ BANGLADESH PAMER KERETA... (Shorts),2025-12-03,17:01
JENDERAL AMERIKA PUJI KEKUATAN TNI...,2025-12-03,18:30
"MALAYSIA KETAKUTAN, TNI DITERJUNKAN 750...",2025-12-03,20:30
"RI TERIMA JET TEMPUR RAFALE PRANCIS, SINDIRAN...",2025-12-04,7:30
"PRABOWO KIRIM ULTIMATUM MILITER, PAPUA NUGINI...",2025-12-04,9:30
KORP MARINIR BELANDA PUJI TNI PAMER ROKET...,2025-12-04,13:15
MALAYSIA HEBOH BANDINGKAN BANJIR BESAR PAHANG...,2025-12-04,16:00
"MALAYSIA KETAKUTAN, TNI DITERJUNKAN... (Shorts)",2025-12-04,17:00
"DOLLAR AUTO NYUNGSEP, RI SETOR RP16,6 T...",2025-12-04,19:00
INDONESIA & AFRIKA RESMI BANGUN HUB EKONOMI...,2025-12-04,20:30
QRIS INDONESIA PECAHKAN REKOR TERTINGGI...,2025-12-05,7:30
3 WILAYAH INI INGIN MERDEKA DARI INDONESIA...,2025-12-05,9:30
YUNANI & INDIA TAKJUB LIHAT KEKUATAN BESAR...,2025-12-05,13:15
"DOLLAR AUTO NYUNGSEP, RI SETOR RP16,6 T... (Shorts)",2025-12-05,17:00
MALAYSIA-SINGAPURA KETAR-KETIR LIHAT PRAJURIT...,2025-12-05,18:30
MALAYSIA TAK KUASA KAPAL PERANG & B737...,2025-12-05,21:00
MALAYSIA HEBOH BANDINGKAN PENANGANAN BENCANA...,2025-12-06,7:30
"MALAYSIA KAGET, INILAH DAFTAR NEGARA...",2025-12-06,9:30
RI–AUSTRALIA–PNG BERSATU BENTUK POROS...,2025-12-06,14:00
PAPUA NUGINI KETAKUTAN MINTA DIBENTUK ZONA...,2025-12-06,16:45
MALAYSIA TAK KUASA KAPAL PERANG... (Shorts),2025-12-06,17:00
MALAYSIA HEBOH INDONESIA RESMI EKSPOR BERAS...,2025-12-06,18:30
MASUK TV JEPANG‼ TNI GERAM BANTUAN RI...,2025-12-06,21:00
